timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1530525768022,5386,HTTP Request,403,Forbidden,Stress Test 1-1,text,false,,1133,150,1,1,5385,0,1639
1530525773468,0,MCE_tt_LANDING,200,"Number of samples in transaction : 0, number of failing samples : 0",,,true,,0,0,0,0,0,0,0
1530525773469,4052,HTTP Request,403,Forbidden,Stress Test 1-1,text,false,,1133,150,1,1,4051,0,3710
1530525777522,2165,HTTP Request,403,Forbidden,Stress Test 1-1,text,false,,1134,150,1,1,2165,0,704
1530525779688,1147,HTTP Request,403,Forbidden,Stress Test 1-1,text,false,,1134,150,1,1,1147,0,668
1530525780837,506,HTTP Request,403,Forbidden,Stress Test 1-1,text,false,,1134,150,1,1,506,0,0
1530525781346,361,HTTP Request,403,Forbidden,Stress Test 1-1,text,false,,1134,150,1,1,361,0,0
1530525781708,1058,HTTP Request,403,Forbidden,Stress Test 1-1,text,false,,1134,150,1,1,1058,0,707
1530525782768,363,HTTP Request,403,Forbidden,Stress Test 1-1,text,false,,1134,150,1,1,363,0,0
1530525783133,353,HTTP Request,403,Forbidden,Stress Test 1-1,text,false,,1134,150,1,1,353,0,0
1530525783488,357,HTTP Request,403,Forbidden,Stress Test 1-1,text,false,,1134,150,1,1,357,0,0
1530525783846,988,HTTP Request,403,Forbidden,Stress Test 1-1,text,false,,1134,150,1,1,988,0,651
1530525784836,339,HTTP Request,403,Forbidden,Stress Test 1-1,text,false,,1134,150,1,1,339,0,0
1530525785176,336,HTTP Request,403,Forbidden,Stress Test 1-1,text,false,,1134,150,1,1,336,0,0
1530525785514,345,HTTP Request,403,Forbidden,Stress Test 1-1,text,false,,1134,150,1,1,345,0,0
1530525785861,1006,HTTP Request,403,Forbidden,Stress Test 1-1,text,false,,1134,150,1,1,1006,0,668
1530525786869,351,HTTP Request,403,Forbidden,Stress Test 1-1,text,false,,1134,150,1,1,351,0,0
1530525787221,353,HTTP Request,403,Forbidden,Stress Test 1-1,text,false,,1134,150,1,1,353,0,0
1530525787575,345,HTTP Request,403,Forbidden,Stress Test 1-1,text,false,,1134,150,1,1,345,0,0
1530525787921,1141,HTTP Request,403,Forbidden,Stress Test 1-1,text,false,,1134,150,1,1,1141,0,783
1530525789064,337,HTTP Request,403,Forbidden,Stress Test 1-1,text,false,,1134,150,1,1,337,0,0
1530525789402,351,HTTP Request,403,Forbidden,Stress Test 1-1,text,false,,1134,150,1,1,350,0,0
1530525789754,343,HTTP Request,403,Forbidden,Stress Test 1-1,text,false,,1134,150,1,1,343,0,0
1530525790103,1012,HTTP Request,403,Forbidden,Stress Test 1-1,text,false,,1134,150,1,1,1012,0,657
1530525791116,339,HTTP Request,403,Forbidden,Stress Test 1-1,text,false,,1134,150,1,1,339,0,0
1530525791456,340,HTTP Request,403,Forbidden,Stress Test 1-1,text,false,,1134,150,1,1,340,0,0
1530525791797,345,HTTP Request,403,Forbidden,Stress Test 1-1,text,false,,1134,150,1,1,345,0,0
1530525792144,1171,HTTP Request,403,Forbidden,Stress Test 1-1,text,false,,1134,150,1,1,1171,0,711
1530525793316,342,HTTP Request,403,Forbidden,Stress Test 1-1,text,false,,1134,150,1,1,342,0,0
1530525793659,347,HTTP Request,403,Forbidden,Stress Test 1-1,text,false,,1134,150,1,1,347,0,0
